2024-08-10 14:59:02,790 - root - INFO - Epoch 0; accuracy: 0.5997167825698853; loss: 4.479466915130615; val_accuracy: 0.6716980934143066; val_loss: 4.106411933898926; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:03,005 - root - INFO - Epoch 1; accuracy: 0.6504602432250977; loss: 3.818077564239502; val_accuracy: 0.6754717230796814; val_loss: 3.51001238822937; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:03,216 - root - INFO - Epoch 2; accuracy: 0.6551805734634399; loss: 3.2712435722351074; val_accuracy: 0.6830188632011414; val_loss: 3.013878583908081; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:03,420 - root - INFO - Epoch 3; accuracy: 0.6589568257331848; loss: 2.8153533935546875; val_accuracy: 0.6867924332618713; val_loss: 2.599493980407715; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:03,622 - root - INFO - Epoch 4; accuracy: 0.6627330780029297; loss: 2.434079885482788; val_accuracy: 0.6915094256401062; val_loss: 2.254340887069702; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:03,824 - root - INFO - Epoch 5; accuracy: 0.666273295879364; loss: 2.118119239807129; val_accuracy: 0.698113203048706; val_loss: 1.9687144756317139; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:04,021 - root - INFO - Epoch 6; accuracy: 0.6561245918273926; loss: 1.8593177795410156; val_accuracy: 0.6896226406097412; val_loss: 1.7338708639144897; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:04,214 - root - INFO - Epoch 7; accuracy: 0.6695775389671326; loss: 1.6408021450042725; val_accuracy: 0.6962264180183411; val_loss: 1.5365030765533447; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:04,436 - root - INFO - Epoch 8; accuracy: 0.6639131307601929; loss: 1.4632326364517212; val_accuracy: 0.6915094256401062; val_loss: 1.3739005327224731; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:04,630 - root - INFO - Epoch 9; accuracy: 0.6691054701805115; loss: 1.3129563331604004; val_accuracy: 0.6877358555793762; val_loss: 1.240936040878296; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:04,821 - root - INFO - Epoch 10; accuracy: 0.6702855825424194; loss: 1.191536545753479; val_accuracy: 0.6867924332618713; val_loss: 1.1310211420059204; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:05,016 - root - INFO - Epoch 11; accuracy: 0.6698135733604431; loss: 1.0934226512908936; val_accuracy: 0.6933962106704712; val_loss: 1.041151762008667; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:05,207 - root - INFO - Epoch 12; accuracy: 0.6679254174232483; loss: 1.010581135749817; val_accuracy: 0.6924528479576111; val_loss: 0.968883216381073; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:05,401 - root - INFO - Epoch 13; accuracy: 0.6790181994438171; loss: 0.9444563388824463; val_accuracy: 0.6905660629272461; val_loss: 0.9069943428039551; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:05,595 - root - INFO - Epoch 14; accuracy: 0.6752418875694275; loss: 0.892062783241272; val_accuracy: 0.6867924332618713; val_loss: 0.8587836027145386; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:05,789 - root - INFO - Epoch 15; accuracy: 0.6738258004188538; loss: 0.8477898836135864; val_accuracy: 0.6858490705490112; val_loss: 0.8187148571014404; learning_rate: 9.999999747378752e-05
2024-08-10 14:59:05,981 - root - INFO - Epoch 16; accuracy: 0.6813783049583435; loss: 0.810587465763092; val_accuracy: 0.6924528479576111; val_loss: 0.7899497747421265; learning_rate: 9.000000136438757e-05
2024-08-10 14:59:06,173 - root - INFO - Epoch 17; accuracy: 0.6773660778999329; loss: 0.7854039669036865; val_accuracy: 0.6943396329879761; val_loss: 0.7634552717208862; learning_rate: 9.000000136438757e-05
2024-08-10 14:59:06,365 - root - INFO - Epoch 18; accuracy: 0.6752418875694275; loss: 0.762413740158081; val_accuracy: 0.6886792182922363; val_loss: 0.7437175512313843; learning_rate: 9.000000136438757e-05
2024-08-10 14:59:06,559 - root - INFO - Epoch 19; accuracy: 0.6728817820549011; loss: 0.7417738437652588; val_accuracy: 0.6933962106704712; val_loss: 0.7248278260231018; learning_rate: 9.000000136438757e-05
2024-08-10 14:59:06,749 - root - INFO - Epoch 20; accuracy: 0.67240971326828; loss: 0.7266409993171692; val_accuracy: 0.6896226406097412; val_loss: 0.7107992172241211; learning_rate: 9.000000136438757e-05
2024-08-10 14:59:06,941 - root - INFO - Epoch 21; accuracy: 0.6757139563560486; loss: 0.7107400298118591; val_accuracy: 0.6886792182922363; val_loss: 0.6978493332862854; learning_rate: 9.000000136438757e-05
2024-08-10 14:59:07,130 - root - INFO - Epoch 22; accuracy: 0.6804342865943909; loss: 0.6997060775756836; val_accuracy: 0.6915094256401062; val_loss: 0.6864024996757507; learning_rate: 9.000000136438757e-05
2024-08-10 14:59:07,321 - root - INFO - Epoch 23; accuracy: 0.6773660778999329; loss: 0.690458357334137; val_accuracy: 0.6858490705490112; val_loss: 0.6774777173995972; learning_rate: 9.000000136438757e-05
2024-08-10 14:59:07,511 - root - INFO - Epoch 24; accuracy: 0.6759499907493591; loss: 0.6828536987304688; val_accuracy: 0.6896226406097412; val_loss: 0.67020583152771; learning_rate: 9.000000136438757e-05
2024-08-10 14:59:07,711 - root - INFO - Epoch 25; accuracy: 0.6820864081382751; loss: 0.6734544038772583; val_accuracy: 0.6896226406097412; val_loss: 0.6620143055915833; learning_rate: 9.000000136438757e-05
